Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 30,boxscore,BOS,,BAL,L,9,10,,0-1,5,1.0,Gibson,Kluber,Bautista,3:10,D,36049,.98,-,
2,Saturday Apr 1,boxscore,BOS,,BAL,W-wo,9,8,,1-1,2,1.0,Jansen,Bautista,,3:04,D,29062,.92,+,
3,Sunday Apr 2,boxscore,BOS,,BAL,W,9,5,,2-1,2,1.0,Houck,Irvin,,2:44,D,27886,.97,++,
4,Monday Apr 3,boxscore,BOS,,PIT,L,6,7,,2-2,3,2.0,Underwood,Crawford,Bednar,2:57,N,28369,.92,-,
5,Tuesday Apr 4,boxscore,BOS,,PIT,L,1,4,,2-3,4,3.0,Contreras,Pivetta,Bednar,2:36,N,28842,.84,--,
6,Wednesday Apr 5,boxscore,BOS,,PIT,L,1,4,,2-4,5,4.0,Keller,Kluber,Underwood,2:32,D,24477,.83,---,
7,Thursday Apr 6,boxscore,BOS,@,DET,W,6,3,,3-4,5,3.5,Sale,Turnbull,Jansen,2:32,D,44650,.84,+,
8,Saturday Apr 8,boxscore,BOS,@,DET,W,14,5,,4-4,4,4.0,Houck,Wentz,,2:38,D,21835,.86,++,
9,Sunday Apr 9,boxscore,BOS,@,DET,W,4,1,,5-4,4,4.0,Crawford,Boyd,Jansen,2:38,D,14885,.90,+++,
10,Monday Apr 10,boxscore,BOS,@,TBR,L,0,1,,5-5,4,5.0,Poche,Martin,Fairbanks,2:06,N,13470,1.05,-,
11,Tuesday Apr 11,boxscore,BOS,@,TBR,L,2,7,,5-6,5,6.0,McClanahan,Whitlock,,2:35,N,12649,1.01,--,
12,Wednesday Apr 12,boxscore,BOS,@,TBR,L,7,9,,5-7,5,7.0,Bradley,Sale,Fairbanks,2:44,N,17136,.92,---,
13,Thursday Apr 13,boxscore,BOS,@,TBR,L,3,9,,5-8,5,8.0,Kelly,Kluber,Bristo,2:38,D,21175,.86,----,
14,Friday Apr 14,boxscore,BOS,,LAA,W,5,3,,6-8,5,7.0,Winckowski,Herget,Jansen,2:57,N,36680,.72,+,
15,Saturday Apr 15,boxscore,BOS,,LAA,W,9,7,,7-8,5,6.0,Brasier,Tepera,Jansen,2:59,D,36594,.78,++,
16,Sunday Apr 16,boxscore,BOS,,LAA,W,2,1,,8-8,5,6.0,Whitlock,Detmers,Brasier,1:57,D,34790,.84,+++,
17,Monday Apr 17,boxscore,BOS,,LAA,L,4,5,,8-9,5,6.0,Davidson,Bello,Estévez,3:03,D,34942,.86,-,
18,Tuesday Apr 18,boxscore,BOS,,MIN,W-wo,5,4,10,9-9,5,6.0,Schreiber,Morán,,3:07,N,28132,.85,+,
19,Wednesday Apr 19,boxscore,BOS,,MIN,L,4,10,,9-10,5,7.0,Ryan,Kluber,Headrick,2:37,N,30027,.85,-,
20,Thursday Apr 20,boxscore,BOS,,MIN,W,11,5,,10-10,5,6.5,Houck,Maeda,,2:40,D,34427,.79,+,
21,Friday Apr 21,boxscore,BOS,@,MIL,W,5,3,,11-10,5,6.5,Pivetta,Peralta,Jansen,2:38,N,24976,.83,++,
22,Saturday Apr 22,boxscore,BOS,@,MIL,L,4,5,,11-11,5,7.5,Miley,Whitlock,Williams,2:23,N,31965,.86,-,
23,Sunday Apr 23,boxscore,BOS,@,MIL,W,12,5,,12-11,5,7.5,Ort,Bush,,3:02,D,26939,.79,+,
24,Monday Apr 24,boxscore,BOS,@,BAL,L,4,5,,12-12,5,8.5,Kremer,Sale,Cano,2:29,N,11811,.92,-,
25,Tuesday Apr 25,boxscore,BOS,@,BAL,W,8,6,,13-12,5,7.5,Kluber,Bradish,Jansen,2:44,N,14343,.86,+,
26,Wednesday Apr 26,boxscore,BOS,@,BAL,L,2,6,,13-13,5,7.5,Wells,Houck,,2:37,D,12044,.93,-,
27,Friday Apr 28,boxscore,BOS,,CLE,L,2,5,,13-14,5,9.0,Bieber,Pivetta,Clase,2:25,N,30578,.79,--,
28,Saturday Apr 29,boxscore,BOS,,CLE,W-wo,8,7,10,14-14,5,9.0,Bernardino,Clase,,3:17,D,31717,.75,+,
29,Sunday Apr 30,boxscore,BOS,,CLE,W,7,1,,15-14,4,8.0,Sale,Allen,,2:32,D,29395,.78,++,
30,Monday May 1,boxscore,BOS,,TOR,W-wo,6,5,,16-14,4,7.5,Winckowski,Romano,,2:46,N,27438,.88,+++,
31,Tuesday May 2,boxscore,BOS,,TOR,W,7,6,,17-14,4,7.5,Bleier,Swanson,Winckowski,2:38,N,27721,.91,++++,
32,Wednesday May 3,boxscore,BOS,,TOR,W,8,3,,18-14,4,7.5,Pivetta,Manoah,,3:13,N,27963,.92,+++++,
33,Thursday May 4,boxscore,BOS,,TOR,W,11,5,,19-14,3,7.5,Bello,Gausman,,2:53,N,30173,1.00,++++++,
34,Friday May 5,boxscore,BOS,@,PHI,W,5,3,,20-14,3,7.5,Sale,Wheeler,Jansen,2:41,N,43322,.90,+++++++,
35,Saturday May 6,boxscore,BOS,@,PHI,W,7,4,,21-14,3,6.5,Kluber,Falter,Jansen,2:50,N,43832,.90,++++++++,
36,Sunday May 7,boxscore,BOS,@,PHI,L,1,6,,21-15,4,7.5,Walker,Houck,Strahm,2:14,D,44669,.95,-,
37,Tuesday May 9,boxscore,BOS,@,ATL,L,3,9,,21-16,4,8.0,Morton,Pivetta,,2:42,N,36805,.92,--,
38,Wednesday May 10,boxscore,BOS,@,ATL,W,5,2,,22-16,3,7.0,Bello,Minter,Jansen,2:43,N,40270,.87,+,
39,Friday May 12,boxscore,BOS,,STL,L,6,8,,22-17,4,7.5,Helsley,Jansen,,2:52,N,34553,.93,-,
40,Saturday May 13,boxscore,BOS,,STL,L,3,4,,22-18,5,7.5,Pallante,Jansen,Gallegos,2:24,D,35935,.90,--,
41,Sunday May 14,boxscore,BOS,,STL,L,1,9,,22-19,5,8.5,Mikolas,Kluber,,3:01,N,27732,.84,---,
42,Monday May 15,boxscore,BOS,,SEA,L,1,10,,22-20,5,9.0,Kirby,Houck,,2:58,N,31744,.85,----,
43,Tuesday May 16,boxscore,BOS,,SEA,W,9,4,,23-20,5,9.0,Pivetta,Castillo,,2:40,N,31476,.83,+,
44,Wednesday May 17,boxscore,BOS,,SEA,W,12,3,,24-20,5,8.0,Bello,Gonzales,,2:57,N,32209,.83,++,
45,Friday May 19,boxscore,BOS,@,SDP,W,6,1,,25-20,4,7.5,Paxton,Snell,Winckowski,2:25,N,41530,.86,+++,
46,Saturday May 20,boxscore,BOS,@,SDP,W,4,2,,26-20,4,7.5,Sale,Musgrove,Jansen,2:51,N,40215,.89,++++,
